"namelookup","connect","appconnect","pretransfer","redirect","starttransfer","total"
0.000, 0.156, 0.000, 0.156, 0.000, 0.177, 0.177
0.000, 0.020, 0.000, 0.020, 0.000, 0.048, 0.048
0.000, 0.007, 0.000, 0.007, 0.000, 0.029, 0.029
0.000, 0.012, 0.000, 0.012, 0.000, 0.035, 0.036
0.000, 0.010, 0.000, 0.010, 0.000, 0.026, 0.026
0.000, 0.006, 0.000, 0.006, 0.000, 0.020, 0.020
0.000, 0.011, 0.000, 0.011, 0.000, 0.020, 0.020
0.000, 0.007, 0.000, 0.007, 0.000, 0.031, 0.031
0.000, 0.009, 0.000, 0.009, 0.000, 0.024, 0.025
0.000, 0.016, 0.000, 0.017, 0.000, 0.044, 0.044
0.000, 0.010, 0.000, 0.010, 0.000, 0.030, 0.030
0.000, 0.008, 0.000, 0.008, 0.000, 0.027, 0.027
0.000, 0.010, 0.000, 0.010, 0.000, 0.031, 0.031
0.000, 0.017, 0.000, 0.017, 0.000, 0.033, 0.033
0.000, 0.013, 0.000, 0.013, 0.000, 0.034, 0.034
0.000, 0.012, 0.000, 0.012, 0.000, 0.025, 0.025
0.000, 0.017, 0.000, 0.017, 0.000, 0.028, 0.028
0.000, 0.007, 0.000, 0.007, 0.000, 0.014, 0.014
0.000, 0.009, 0.000, 0.009, 0.000, 0.023, 0.023
0.000, 0.006, 0.000, 0.006, 0.000, 0.016, 0.016
0.000, 0.005, 0.000, 0.005, 0.000, 0.016, 0.016
0.000, 0.011, 0.000, 0.011, 0.000, 0.033, 0.033
0.000, 0.007, 0.000, 0.008, 0.000, 0.020, 0.020
0.000, 0.006, 0.000, 0.006, 0.000, 0.024, 0.024
0.000, 0.005, 0.000, 0.005, 0.000, 0.015, 0.015
0.000, 0.004, 0.000, 0.004, 0.000, 0.014, 0.014
0.000, 0.004, 0.000, 0.004, 0.000, 0.012, 0.012
0.000, 0.005, 0.000, 0.005, 0.000, 0.021, 0.021
0.000, 0.005, 0.000, 0.005, 0.000, 0.012, 0.012
0.000, 0.004, 0.000, 0.004, 0.000, 0.016, 0.016
0.000, 0.005, 0.000, 0.005, 0.000, 0.018, 0.018
0.000, 0.031, 0.000, 0.031, 0.000, 0.038, 0.038
0.000, 0.016, 0.000, 0.016, 0.000, 0.023, 0.023
0.000, 0.004, 0.000, 0.004, 0.000, 0.010, 0.010
0.000, 0.004, 0.000, 0.004, 0.000, 0.009, 0.009
0.000, 0.004, 0.000, 0.004, 0.000, 0.013, 0.013
